month,diagnosis,0-9_M,0-9_F,10-18_M,10-18_F,19-24_M,19-24_F,25-34_M,25-34_F,35-64_M,35-64_F,65+_M,65+_F,Unknown_M,Unknown_F,total_male,total_female,total_cases
July 2024,Bipolar Mood disorder                (BMD),0,0,5,1,6,6,14,17,19,14,1,4,0,0,45,42,87
July 2024,Bipolar Mood disorder  II            (BMD II),0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2
July 2024,Bipolar Mood disorder I              (BMD I),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
July 2024,Conduct disorder,0,0,0,3,1,0,0,0,0,1,0,0,0,0,1,4,5
July 2024,Conversion disorder,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
July 2024,Delirium,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
July 2024,Delusional disorder,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
July 2024,Dementia,0,0,0,0,1,1,0,1,1,4,4,8,0,0,6,14,20
July 2024,Depression,0,0,0,0,0,4,3,2,4,1,0,1,0,0,7,8,15
July 2024,Depression (Mild),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
July 2024,Depression (Post Partum)   PPD,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
July 2024,Drug Induced Psychosis            (DIP),0,0,5,3,23,4,36,5,14,6,0,0,0,0,78,18,96
July 2024,Dysthymic disorder,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
July 2024,Generalized Anxiety Dis (GAD),0,0,0,0,1,2,3,3,2,2,1,0,0,0,7,7,14
July 2024,Insomia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
July 2024,Intellectual Disability Dis (IDD),0,0,1,0,1,1,1,1,3,2,0,0,0,0,6,4,10
July 2024,Learning  disability,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
July 2024,Major Depressive Disorder         (MDD),0,0,1,1,3,5,10,8,10,9,2,1,0,0,26,24,50
July 2024,Mental Retardation,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
July 2024,Mood disorder,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
July 2024,Obsessive Compulsive Disorder (OCD),0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
July 2024,Oppositional Defiant Disorder (ODD),0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
July 2024,Panic attack,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,1,3
July 2024,Personality disorder,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
July 2024,Polysubstance abuse/use Disorder  (PSUD),0,0,0,0,3,0,7,1,3,1,1,0,0,0,14,2,16
July 2024,Post Traumatic Sress Disorder     (PTSD),0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,1,3
July 2024,Psychosis,0,0,1,0,3,0,5,7,2,5,1,1,0,0,12,13,25
July 2024,Psychosis (Acute) (APE),0,0,1,3,1,2,2,0,2,0,0,0,0,0,6,5,11
July 2024,Psychosis (Brief),0,0,2,0,5,2,8,6,9,4,2,1,0,0,26,13,39
July 2024,Psychosis (Post Partum)                (PPP),0,0,0,0,0,3,0,5,0,2,0,0,0,0,0,10,10
July 2024,Schizo Affective,0,0,1,0,4,1,1,1,4,10,0,0,0,0,10,12,22
July 2024,Schizophrenia,1,0,4,1,11,3,20,10,18,24,2,2,0,0,56,40,96
July 2024,Somatism,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
July 2024,Stress Disorder (Acute),0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
July 2024,Substance Abuse,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
July 2024,Substance Induced Psychosis       (SIP),0,0,0,0,3,0,4,1,1,0,0,0,0,0,8,1,9
July 2024,Substance Withdrawal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
July 2024,Substance/Drug Abuse (SUD-Bhang),0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,3
July 2024,Substance/use disorder  SUD,0,0,7,0,16,2,10,3,11,1,0,0,0,0,44,6,50
July 2024,Suicidal (Attempted),0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
July 2024,Suicidal ideas/thoughts,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
August 2024,Bipolar Disorder,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
August 2024,Bipolar Mood disorder                (BMD),0,0,1,3,7,3,12,18,14,16,0,1,0,0,34,41,75
August 2024,Bipolar Mood disorder  II            (BMD II),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
August 2024,Bipolar Mood disorder I              (BMD I),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
August 2024,Delusional disorder,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
August 2024,Dementia,0,0,0,0,0,0,1,0,0,7,6,21,0,0,7,28,35
August 2024,Depression,0,0,0,1,1,0,2,2,2,4,0,1,0,0,5,8,13
August 2024,Drug Induced Psychosis            (DIP),0,0,6,2,32,4,26,4,20,6,0,0,0,0,84,16,100
August 2024,Dyslexia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
August 2024,Generalized Anxiety Dis (GAD),0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,4,5
August 2024,Hypomania,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
August 2024,Intellectual Disability Dis (IDD),0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
August 2024,Major Depressive Disorder         (MDD),0,0,1,1,3,2,9,6,4,9,1,0,0,0,18,18,36
August 2024,Mood disorder,0,0,0,0,1,1,0,0,1,1,0,0,0,0,2,2,4
August 2024,Panic attack,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
August 2024,Personality disorder,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
August 2024,Polysubstance abuse/use Disorder  (PSUD),0,0,0,0,0,0,1,1,2,1,0,0,0,0,3,2,5
August 2024,Post Traumatic Sress Disorder     (PTSD),0,0,0,2,1,0,1,1,0,0,0,0,0,0,2,3,5
August 2024,Psychosis,0,0,2,0,2,2,5,3,5,6,3,3,0,0,17,14,31
August 2024,Psychosis (Acute) (APE),0,0,1,1,0,2,3,2,2,4,0,0,0,0,6,9,15
August 2024,Psychosis (Brief),1,0,0,3,11,7,4,10,9,8,0,3,0,0,25,31,56
August 2024,Psychosis (Organic),0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,1,3
August 2024,Psychosis (Post Partum)                (PPP),0,0,0,0,0,1,0,5,0,2,0,0,0,0,0,8,8
August 2024,Schizo Affective,0,0,0,0,2,3,2,6,2,5,0,1,0,0,6,15,21
August 2024,Schizophrenia,0,0,2,0,7,2,13,11,27,22,0,1,0,0,49,36,85
August 2024,Schizophrenia (Catatonic),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
August 2024,Somatism,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
August 2024,Stress Disorder (Acute),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
August 2024,Stress Disorder (Emotional),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
